birth Age 	M	F	Total
2019	0	360.058	346.324	706.382
2018	1	365.656	350.503	716.159
2017	2	371.835	357.304	729.139
2016	3	382.535	366.607	749.142
2015	4	393.693	377.204	770.897
2014	5	403.548	391.501	795.049
2013	6	409.134	392.202	801.336
2012	7	419.746	399.227	818.973
2011	8	420.236	404.030	824.266
2010	9	430.787	413.625	844.412
2009	10	428.212	408.398	836.610
2008	11	430.731	411.043	841.774
2007	12	425.893	407.591	833.484
2006	13	432.473	414.777	847.250
2005	14	424.444	404.430	828.874
2004	15	424.188	404.036	828.224
2003	16	422.558	402.977	825.535
2002	17	422.993	401.250	824.243
2001	18	426.940	403.919	830.859
2000	19	427.764	404.371	832.135
1999	20	398.800	379.795	778.595
1998	21	390.940	376.479	767.419
1997	22	373.892	364.363	738.255
1996	23	372.960	368.533	741.493
1995	24	365.819	365.901	731.720
1994	25	352.810	357.004	709.814
1993	26	352.119	358.110	710.229
1992	27	369.044	378.321	747.365
1991	28	376.549	386.191	762.740
1990	29	384.258	399.020	783.278
1989	30	385.549	408.207	793.756
1988	31	391.686	414.023	805.709
1987	32	392.288	417.174	809.462
1986	33	398.561	425.827	824.388
1985	34	398.500	424.654	823.154
1984	35	396.432	421.184	817.616
1983	36	392.284	416.829	809.113
1982	37	418.774	441.409	860.183
1981	38	423.924	444.590	868.514
1980	39	427.805	448.557	876.362
1979	40	405.284	425.335	830.619
1978	41	398.834	413.726	812.560
1977	42	402.575	412.954	815.529
1976	43	391.152	403.860	795.012
1975	44	403.928	414.578	818.506
1974	45	424.573	434.834	859.407
1973	46	446.674	458.834	905.508
1972	47	458.045	467.783	925.828
1971	48	456.949	464.142	921.091
1970	49	445.768	454.621	900.389
1969	50	439.368	449.572	888.940
1968	51	431.757	446.380	878.137
1967	52	429.154	443.790	872.944
1966	53	437.583	454.330	891.913
1965	54	437.857	455.939	893.796
1964	55	439.911	461.505	901.416
1963	56	432.906	456.383	889.289
1962	57	417.223	440.637	857.860
1961	58	417.146	441.038	858.184
1960	59	411.659	440.968	852.627
1959	60	407.015	438.821	845.836
1958	61	395.560	431.486	827.046
1957	62	390.560	427.710	818.270
1956	63	384.101	425.002	809.103
1955	64	377.452	421.955	799.407
1954	65	375.899	419.167	795.066
1953	66	366.489	409.584	776.073
1952	67	369.758	414.522	784.280
1951	68	357.936	403.062	760.998
1950	69	367.412	416.115	783.527
1949	70	357.423	409.011	766.434
1948	71	353.971	405.651	759.622
1947	72	343.786	395.417	739.203
1946	73	319.209	373.675	692.884
1945	74	236.133	282.822	518.955
1944	75	228.151	274.365	502.516
1943	76	218.015	265.820	483.835
1942	77	198.121	245.327	443.448
1941	78	171.413	217.897	389.310
1940	79	171.850	225.603	397.453
1939	80	173.240	234.771	408.011
1938	81	163.237	226.815	390.052
1937	82	152.718	219.891	372.609
1936	83	145.045	217.005	362.050
1935	84	130.057	206.227	336.284
1934	85	122.635	202.703	325.338
1933	86	107.243	186.398	293.641
1932	87	98.622	181.628	280.250
1931	88	85.287	164.968	250.255
1930	89	73.609	152.444	226.053
1929	90	57.533	128.482	186.015
1928	91	47.092	113.470	160.562
1927	92	36.852	95.551	132.403
1926	93	28.358	82.108	110.466
1925	94	22.290	67.040	89.330
1924	95	16.359	53.442	69.801
1923	96	11.552	41.649	53.201
1922	97	7.728	32.000	39.728
1921	98	5.514	23.516	29.030
1920	99	3.639	16.396	20.035
1919	100	3.551	18.309	21.860
