Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,France,46.2276,2.2137,2020-09-16,421861,FRA,150,155,
,France,46.2276,2.2137,2020-09-15,412360,FRA,150,155,
,France,46.2276,2.2137,2020-09-14,404564,FRA,150,155,
,France,46.2276,2.2137,2020-09-13,381907,FRA,150,155,
,France,46.2276,2.2137,2020-09-12,381907,FRA,150,155,
,France,46.2276,2.2137,2020-09-11,381907,FRA,150,155,
,France,46.2276,2.2137,2020-09-10,372501,FRA,150,155,
,France,46.2276,2.2137,2020-09-09,363751,FRA,150,155,
,France,46.2276,2.2137,2020-09-08,355244,FRA,150,155,
,France,46.2276,2.2137,2020-09-07,348982,FRA,150,155,
,France,46.2276,2.2137,2020-09-06,329246,FRA,150,155,
,France,46.2276,2.2137,2020-09-05,329353,FRA,150,155,
,France,46.2276,2.2137,2020-09-04,329512,FRA,150,155,
,France,46.2276,2.2137,2020-09-03,320656,FRA,150,155,
,France,46.2276,2.2137,2020-09-02,313730,FRA,150,155,
,France,46.2276,2.2137,2020-09-01,306951,FRA,150,155,
,France,46.2276,2.2137,2020-08-31,302175,FRA,150,155,
,France,46.2276,2.2137,2020-08-30,299320,FRA,150,155,
,France,46.2276,2.2137,2020-08-29,288531,FRA,150,155,
,France,46.2276,2.2137,2020-08-28,288655,FRA,150,155,
,France,46.2276,2.2137,2020-08-27,281603,FRA,150,155,
,France,46.2276,2.2137,2020-08-26,275640,FRA,150,155,
,France,46.2276,2.2137,2020-08-25,270455,FRA,150,155,
,France,46.2276,2.2137,2020-08-24,267392,FRA,150,155,
,France,46.2276,2.2137,2020-08-23,265550,FRA,150,155,
,France,46.2276,2.2137,2020-08-22,260873,FRA,150,155,
,France,46.2276,2.2137,2020-08-21,257333,FRA,150,155,
,France,46.2276,2.2137,2020-08-20,242413,FRA,150,155,
,France,46.2276,2.2137,2020-08-19,242538,FRA,150,155,
,France,46.2276,2.2137,2020-08-18,242592,FRA,150,155,
,France,46.2276,2.2137,2020-08-17,242650,FRA,150,155,
,France,46.2276,2.2137,2020-08-16,239306,FRA,150,155,
,France,46.2276,2.2137,2020-08-15,239345,FRA,150,155,
,France,46.2276,2.2137,2020-08-14,236114,FRA,150,155,
,France,46.2276,2.2137,2020-08-13,230778,FRA,150,155,
,France,46.2276,2.2137,2020-08-12,230874,FRA,150,155,
,France,46.2276,2.2137,2020-08-11,226313,FRA,150,155,
,France,46.2276,2.2137,2020-08-10,226384,FRA,150,155,
,France,46.2276,2.2137,2020-08-09,222402,FRA,150,155,
,France,46.2276,2.2137,2020-08-08,222408,FRA,150,155,
,France,46.2276,2.2137,2020-08-07,222477,FRA,150,155,
,France,46.2276,2.2137,2020-08-06,218763,FRA,150,155,
,France,46.2276,2.2137,2020-08-05,216106,FRA,150,155,
,France,46.2276,2.2137,2020-08-04,216193,FRA,150,155,
,France,46.2276,2.2137,2020-08-03,212884,FRA,150,155,
,France,46.2276,2.2137,2020-08-02,213028,FRA,150,155,
,France,46.2276,2.2137,2020-08-01,213031,FRA,150,155,
,France,46.2276,2.2137,2020-07-31,213093,FRA,150,155,
,France,46.2276,2.2137,2020-07-30,210465,FRA,150,155,
,France,46.2276,2.2137,2020-07-29,209211,FRA,150,155,
,France,46.2276,2.2137,2020-07-28,209342,FRA,150,155,
,France,46.2276,2.2137,2020-07-27,208665,FRA,150,155,
,France,46.2276,2.2137,2020-07-26,206334,FRA,150,155,
,France,46.2276,2.2137,2020-07-25,206334,FRA,150,155,
,France,46.2276,2.2137,2020-07-24,206418,FRA,150,155,
,France,46.2276,2.2137,2020-07-23,205476,FRA,150,155,
,France,46.2276,2.2137,2020-07-22,204641,FRA,150,155,
,France,46.2276,2.2137,2020-07-21,203696,FRA,150,155,
,France,46.2276,2.2137,2020-07-20,203242,FRA,150,155,
,France,46.2276,2.2137,2020-07-19,201281,FRA,150,155,
,France,46.2276,2.2137,2020-07-18,201285,FRA,150,155,
,France,46.2276,2.2137,2020-07-17,201448,FRA,150,155,
,France,46.2276,2.2137,2020-07-16,200739,FRA,150,155,
,France,46.2276,2.2137,2020-07-15,200338,FRA,150,155,
,France,46.2276,2.2137,2020-07-14,199509,FRA,150,155,
,France,46.2276,2.2137,2020-07-13,199571,FRA,150,155,
,France,46.2276,2.2137,2020-07-12,198183,FRA,150,155,
,France,46.2276,2.2137,2020-07-11,198199,FRA,150,155,
,France,46.2276,2.2137,2020-07-10,198450,FRA,150,155,
,France,46.2276,2.2137,2020-07-09,197964,FRA,150,155,
,France,46.2276,2.2137,2020-07-08,196796,FRA,150,155,
,France,46.2276,2.2137,2020-07-07,197089,FRA,150,155,
,France,46.2276,2.2137,2020-07-06,196748,FRA,150,155,
,France,46.2276,2.2137,2020-07-05,195535,FRA,150,155,
,France,46.2276,2.2137,2020-07-04,195546,FRA,150,155,
,France,46.2276,2.2137,2020-07-03,195904,FRA,150,155,
,France,46.2276,2.2137,2020-07-02,195458,FRA,150,155,
,France,46.2276,2.2137,2020-07-01,194985,FRA,150,155,
,France,46.2276,2.2137,2020-06-30,194373,FRA,150,155,
