Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,France,46.2276,2.2137,2020-04-07,10328,FRA,150,155,
,France,46.2276,2.2137,2020-04-06,8911,FRA,150,155,
,France,46.2276,2.2137,2020-04-05,8078,FRA,150,155,
,France,46.2276,2.2137,2020-04-04,7560,FRA,150,155,
,France,46.2276,2.2137,2020-04-03,6507,FRA,150,155,
,France,46.2276,2.2137,2020-04-02,5387,FRA,150,155,
,France,46.2276,2.2137,2020-04-01,4032,FRA,150,155,
,France,46.2276,2.2137,2020-03-31,3523,FRA,150,155,
,France,46.2276,2.2137,2020-03-30,3024,FRA,150,155,
,France,46.2276,2.2137,2020-03-29,2606,FRA,150,155,
,France,46.2276,2.2137,2020-03-28,2314,FRA,150,155,
,France,46.2276,2.2137,2020-03-27,1995,FRA,150,155,
,France,46.2276,2.2137,2020-03-26,1696,FRA,150,155,
,France,46.2276,2.2137,2020-03-25,1331,FRA,150,155,
,France,46.2276,2.2137,2020-03-24,1100,FRA,150,155,
,France,46.2276,2.2137,2020-03-23,860,FRA,150,155,
,France,46.2276,2.2137,2020-03-22,674,FRA,150,155,
,France,46.2276,2.2137,2020-03-21,562,FRA,150,155,
,France,46.2276,2.2137,2020-03-20,450,FRA,150,155,
,France,46.2276,2.2137,2020-03-19,243,FRA,150,155,
,France,46.2276,2.2137,2020-03-18,148,FRA,150,155,
,France,46.2276,2.2137,2020-03-17,148,FRA,150,155,
,France,46.2276,2.2137,2020-03-16,148,FRA,150,155,
,France,46.2276,2.2137,2020-03-15,91,FRA,150,155,
,France,46.2276,2.2137,2020-03-14,91,FRA,150,155,
,France,46.2276,2.2137,2020-03-13,79,FRA,150,155,
,France,46.2276,2.2137,2020-03-12,48,FRA,150,155,
,France,46.2276,2.2137,2020-03-11,48,FRA,150,155,
,France,46.2276,2.2137,2020-03-10,33,FRA,150,155,
,France,46.2276,2.2137,2020-03-09,19,FRA,150,155,
,France,46.2276,2.2137,2020-03-08,19,FRA,150,155,
,France,46.2276,2.2137,2020-03-07,11,FRA,150,155,
,France,46.2276,2.2137,2020-03-06,9,FRA,150,155,
,France,46.2276,2.2137,2020-03-05,6,FRA,150,155,
,France,46.2276,2.2137,2020-03-04,4,FRA,150,155,
,France,46.2276,2.2137,2020-03-03,4,FRA,150,155,
,France,46.2276,2.2137,2020-03-02,3,FRA,150,155,
,France,46.2276,2.2137,2020-03-01,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-29,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-28,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-27,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-26,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-25,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-24,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-23,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-22,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-21,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-20,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-19,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-18,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-17,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-16,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-15,1,FRA,150,155,
,France,46.2276,2.2137,2020-02-14,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-13,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-12,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-11,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-10,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-09,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-08,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-07,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-06,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-05,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-04,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-03,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-02,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-01,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-31,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-30,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-29,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-28,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-27,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-26,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-25,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-24,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-23,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-22,0,FRA,150,155,
