Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,France,46.2276,2.2137,2020-09-16,75921,FRA,150,155,
,France,46.2276,2.2137,2020-09-15,75477,FRA,150,155,
,France,46.2276,2.2137,2020-09-14,75139,FRA,150,155,
,France,46.2276,2.2137,2020-09-13,75308,FRA,150,155,
,France,46.2276,2.2137,2020-09-12,75308,FRA,150,155,
,France,46.2276,2.2137,2020-09-11,75308,FRA,150,155,
,France,46.2276,2.2137,2020-09-10,74991,FRA,150,155,
,France,46.2276,2.2137,2020-09-09,74867,FRA,150,155,
,France,46.2276,2.2137,2020-09-08,74569,FRA,150,155,
,France,46.2276,2.2137,2020-09-07,74223,FRA,150,155,
,France,46.2276,2.2137,2020-09-06,73866,FRA,150,155,
,France,46.2276,2.2137,2020-09-05,73866,FRA,150,155,
,France,46.2276,2.2137,2020-09-04,74377,FRA,150,155,
,France,46.2276,2.2137,2020-09-03,74156,FRA,150,155,
,France,46.2276,2.2137,2020-09-02,73946,FRA,150,155,
,France,46.2276,2.2137,2020-09-01,73727,FRA,150,155,
,France,46.2276,2.2137,2020-08-31,73537,FRA,150,155,
,France,46.2276,2.2137,2020-08-30,73279,FRA,150,155,
,France,46.2276,2.2137,2020-08-29,73279,FRA,150,155,
,France,46.2276,2.2137,2020-08-28,73501,FRA,150,155,
,France,46.2276,2.2137,2020-08-27,73433,FRA,150,155,
,France,46.2276,2.2137,2020-08-26,73020,FRA,150,155,
,France,46.2276,2.2137,2020-08-25,73082,FRA,150,155,
,France,46.2276,2.2137,2020-08-24,72793,FRA,150,155,
,France,46.2276,2.2137,2020-08-23,72623,FRA,150,155,
,France,46.2276,2.2137,2020-08-22,72600,FRA,150,155,
,France,46.2276,2.2137,2020-08-21,72535,FRA,150,155,
,France,46.2276,2.2137,2020-08-20,71868,FRA,150,155,
,France,46.2276,2.2137,2020-08-19,71945,FRA,150,155,
,France,46.2276,2.2137,2020-08-18,72003,FRA,150,155,
,France,46.2276,2.2137,2020-08-17,72072,FRA,150,155,
,France,46.2276,2.2137,2020-08-16,71971,FRA,150,155,
,France,46.2276,2.2137,2020-08-15,71971,FRA,150,155,
,France,46.2276,2.2137,2020-08-14,72023,FRA,150,155,
,France,46.2276,2.2137,2020-08-13,71730,FRA,150,155,
,France,46.2276,2.2137,2020-08-12,71906,FRA,150,155,
,France,46.2276,2.2137,2020-08-11,71454,FRA,150,155,
,France,46.2276,2.2137,2020-08-10,71537,FRA,150,155,
,France,46.2276,2.2137,2020-08-09,71585,FRA,150,155,
,France,46.2276,2.2137,2020-08-08,71585,FRA,150,155,
,France,46.2276,2.2137,2020-08-07,71766,FRA,150,155,
,France,46.2276,2.2137,2020-08-06,71613,FRA,150,155,
,France,46.2276,2.2137,2020-08-05,71484,FRA,150,155,
,France,46.2276,2.2137,2020-08-04,71152,FRA,150,155,
,France,46.2276,2.2137,2020-08-03,71258,FRA,150,155,
,France,46.2276,2.2137,2020-08-02,71511,FRA,150,155,
,France,46.2276,2.2137,2020-08-01,71511,FRA,150,155,
,France,46.2276,2.2137,2020-07-31,71656,FRA,150,155,
,France,46.2276,2.2137,2020-07-30,71643,FRA,150,155,
,France,46.2276,2.2137,2020-07-29,71597,FRA,150,155,
,France,46.2276,2.2137,2020-07-28,71667,FRA,150,155,
,France,46.2276,2.2137,2020-07-27,71497,FRA,150,155,
,France,46.2276,2.2137,2020-07-26,71566,FRA,150,155,
,France,46.2276,2.2137,2020-07-25,71566,FRA,150,155,
,France,46.2276,2.2137,2020-07-24,71811,FRA,150,155,
,France,46.2276,2.2137,2020-07-23,71618,FRA,150,155,
,France,46.2276,2.2137,2020-07-22,71238,FRA,150,155,
,France,46.2276,2.2137,2020-07-21,71382,FRA,150,155,
,France,46.2276,2.2137,2020-07-20,71494,FRA,150,155,
,France,46.2276,2.2137,2020-07-19,71639,FRA,150,155,
,France,46.2276,2.2137,2020-07-18,71639,FRA,150,155,
,France,46.2276,2.2137,2020-07-17,71979,FRA,150,155,
,France,46.2276,2.2137,2020-07-16,71910,FRA,150,155,
,France,46.2276,2.2137,2020-07-15,71774,FRA,150,155,
,France,46.2276,2.2137,2020-07-14,71918,FRA,150,155,
,France,46.2276,2.2137,2020-07-13,72180,FRA,150,155,
,France,46.2276,2.2137,2020-07-12,72200,FRA,150,155,
,France,46.2276,2.2137,2020-07-11,72200,FRA,150,155,
,France,46.2276,2.2137,2020-07-10,72396,FRA,150,155,
,France,46.2276,2.2137,2020-07-09,72408,FRA,150,155,
,France,46.2276,2.2137,2020-07-08,72133,FRA,150,155,
,France,46.2276,2.2137,2020-07-07,72363,FRA,150,155,
,France,46.2276,2.2137,2020-07-06,72233,FRA,150,155,
,France,46.2276,2.2137,2020-07-05,72092,FRA,150,155,
,France,46.2276,2.2137,2020-07-04,72092,FRA,150,155,
,France,46.2276,2.2137,2020-07-03,72181,FRA,150,155,
,France,46.2276,2.2137,2020-07-02,72054,FRA,150,155,
,France,46.2276,2.2137,2020-07-01,71879,FRA,150,155,
,France,46.2276,2.2137,2020-06-30,71714,FRA,150,155,
,France,46.2276,2.2137,2020-06-29,71595,FRA,150,155,
,France,46.2276,2.2137,2020-06-28,71455,FRA,150,155,
,France,46.2276,2.2137,2020-06-27,71455,FRA,150,155,
,France,46.2276,2.2137,2020-06-26,71550,FRA,150,155,
,France,46.2276,2.2137,2020-06-25,71322,FRA,150,155,
,France,46.2276,2.2137,2020-06-24,71138,FRA,150,155,
,France,46.2276,2.2137,2020-06-23,70952,FRA,150,155,
,France,46.2276,2.2137,2020-06-22,70737,FRA,150,155,
,France,46.2276,2.2137,2020-06-21,70661,FRA,150,155,
,France,46.2276,2.2137,2020-06-20,70641,FRA,150,155,
,France,46.2276,2.2137,2020-06-19,70496,FRA,150,155,
,France,46.2276,2.2137,2020-06-18,70322,FRA,150,155,
,France,46.2276,2.2137,2020-06-17,70223,FRA,150,155,
,France,46.2276,2.2137,2020-06-16,69943,FRA,150,155,
,France,46.2276,2.2137,2020-06-15,69719,FRA,150,155,
,France,46.2276,2.2137,2020-06-14,69820,FRA,150,155,
,France,46.2276,2.2137,2020-06-13,69783,FRA,150,155,
,France,46.2276,2.2137,2020-06-12,69578,FRA,150,155,
,France,46.2276,2.2137,2020-06-11,69344,FRA,150,155,
,France,46.2276,2.2137,2020-06-10,69032,FRA,150,155,
,France,46.2276,2.2137,2020-06-09,68736,FRA,150,155,
,France,46.2276,2.2137,2020-06-08,68319,FRA,150,155,
,France,46.2276,2.2137,2020-06-07,68283,FRA,150,155,
,France,46.2276,2.2137,2020-06-06,68282,FRA,150,155,
,France,46.2276,2.2137,2020-06-05,68007,FRA,150,155,
,France,46.2276,2.2137,2020-06-04,67510,FRA,150,155,
,France,46.2276,2.2137,2020-06-03,67031,FRA,150,155,
,France,46.2276,2.2137,2020-06-02,66485,FRA,150,155,
,France,46.2276,2.2137,2020-06-01,66120,FRA,150,155,
,France,46.2276,2.2137,2020-05-31,66123,FRA,150,155,
,France,46.2276,2.2137,2020-05-30,66051,FRA,150,155,
,France,46.2276,2.2137,2020-05-29,65599,FRA,150,155,
,France,46.2276,2.2137,2020-05-28,65098,FRA,150,155,
,France,46.2276,2.2137,2020-05-27,64503,FRA,150,155,
,France,46.2276,2.2137,2020-05-26,64222,FRA,150,155,
,France,46.2276,2.2137,2020-05-25,63542,FRA,150,155,
,France,46.2276,2.2137,2020-05-24,62961,FRA,150,155,
,France,46.2276,2.2137,2020-05-23,62893,FRA,150,155,
,France,46.2276,2.2137,2020-05-22,62557,FRA,150,155,
,France,46.2276,2.2137,2020-05-21,62216,FRA,150,155,
,France,46.2276,2.2137,2020-05-20,61713,FRA,150,155,
,France,46.2276,2.2137,2020-05-19,61246,FRA,150,155,
,France,46.2276,2.2137,2020-05-18,60416,FRA,150,155,
,France,46.2276,2.2137,2020-05-17,59907,FRA,150,155,
,France,46.2276,2.2137,2020-05-16,59142,FRA,150,155,
,France,46.2276,2.2137,2020-05-15,59143,FRA,150,155,
,France,46.2276,2.2137,2020-05-14,58300,FRA,150,155,
,France,46.2276,2.2137,2020-05-13,57368,FRA,150,155,
,France,46.2276,2.2137,2020-05-12,56617,FRA,150,155,
,France,46.2276,2.2137,2020-05-11,55569,FRA,150,155,
,France,46.2276,2.2137,2020-05-10,55062,FRA,150,155,
,France,46.2276,2.2137,2020-05-09,54886,FRA,150,155,
,France,46.2276,2.2137,2020-05-08,54770,FRA,150,155,
,France,46.2276,2.2137,2020-05-07,54076,FRA,150,155,
,France,46.2276,2.2137,2020-05-06,53022,FRA,150,155,
,France,46.2276,2.2137,2020-05-05,51803,FRA,150,155,
,France,46.2276,2.2137,2020-05-04,50438,FRA,150,155,
,France,46.2276,2.2137,2020-05-03,49973,FRA,150,155,
